"","GOterm","ParentTerm","Factor.x","term","bh_adjust_Up","bh_adjust_Down"
"362","GO:0008284","regulation of cell population proliferation","Down, Up","positive regulation of cell population proliferation",1.96899816225653e-44,6.12967702105371e-39
"363","GO:0008285","regulation of cell population proliferation","Down, Up","negative regulation of cell population proliferation",4.31786790302182e-41,2.53739044248369e-34
"364","GO:0008286","response to chemical, response to organic substance","Down, Up","insulin receptor signaling pathway",3.16385827753991e-07,6.86622697652179e-07
"365","GO:0008298","macromolecule localization","Up","intracellular mRNA localization",4.97856121137208e-06,NA
"366","GO:0008306","system process","Down, Up","associative learning",4.13686333598569e-10,5.7073430084083e-09
"367","GO:0008333","cellular localization","Up","endosome to lysosome transport",2.92793581839696e-06,NA
"368","GO:0008340","multicellular organismal process","Down, Up","determination of adult lifespan",3.58743298396562e-23,7.92190362477638e-28
"369","GO:0008344","behavior","Down, Up","adult locomotory behavior",1.44915926389748e-08,2.35024210059403e-09
"370","GO:0008354","cell motility","Up","germ cell migration",6.28993485437259e-07,NA
"371","GO:0008356","cell division","Down, Up","asymmetric cell division",7.21556900837152e-13,4.85203552410112e-06
"372","GO:0008358","pattern specification process","Down, Up","maternal determination of anterior/posterior axis, embryo",5.70415330071799e-07,1.93346695185356e-06
"373","GO:0008360","regulation of developmental process, anatomical structure morphogenesis","Down, Up","regulation of cell shape",7.48196338172831e-13,2.21658121287636e-11
"374","GO:0008361","regulation of biological quality","Down, Up","regulation of cell size",1.09898839237953e-25,3.71846591724497e-18
"375","GO:0008380","RNA processing","Down, Up","RNA splicing",3.29422258299677e-31,1.36357791015305e-33
"376","GO:0008406","reproduction","Down, Up","gonad development",1.14991955672823e-22,7.14846693666798e-26
"377","GO:0008543","response to endogenous stimulus","Up","fibroblast growth factor receptor signaling pathway",3.12906789566303e-07,NA
"378","GO:0008544","tissue development","Down, Up","epidermis development",3.50861456486278e-21,5.20883057685694e-17
"379","GO:0008582","synapse organization","Down, Up","regulation of synaptic assembly at neuromuscular junction",1.01338971873879e-15,7.25934215761638e-12
"380","GO:0008584","reproduction","Down, Up","male gonad development",2.52042061633185e-06,1.92253795056058e-09
"381","GO:0008585","reproduction","Down, Up","female gonad development",1.10041855402398e-06,5.63723026447389e-06
"382","GO:0008589","signaling, cell surface receptor signaling pathway","Down, Up","regulation of smoothened signaling pathway",8.70675264506857e-11,3.52308559432802e-06
"383","GO:0008593","signaling, cell surface receptor signaling pathway","Down, Up","regulation of Notch signaling pathway",7.91383260950926e-17,9.795998582776e-14
"384","GO:0008595","pattern specification process","Down, Up","anterior/posterior axis specification, embryo",3.20894719712878e-10,1.76194020673293e-10
"385","GO:0008610","lipid metabolic process","Down, Up","lipid biosynthetic process",8.29802475181287e-31,1.6262313481411e-26
"386","GO:0008630","regulation of cell death","Down","intrinsic apoptotic signaling pathway in response to DNA damage",NA,4.36194017294311e-06
"387","GO:0008652","small molecule metabolic process","Down","amino acid biosynthetic process",NA,2.31192836552808e-08
"388","GO:0008654","organophosphate metabolic process, phosphorus metabolic process","Down, Up","phospholipid biosynthetic process",4.33773631636112e-15,1.83257450008846e-15
"389","GO:0009056","catabolic process","Down, Up","catabolic process",4.87910849551233e-115,8.67428291229678e-134
"390","GO:0009057","catabolic process","Down, Up","macromolecule catabolic process",2.24374894643954e-65,6.08802061574379e-89
"391","GO:0009058","biosynthetic process","Down, Up","biosynthetic process",9.13486021120615e-185,9.11804886211238e-231
"392","GO:0009059","biosynthetic process","Down, Up","macromolecule biosynthetic process",9.64679589807129e-114,2.27355639500014e-160
"393","GO:0009060","generation of precursor metabolites and energy","Down, Up","aerobic respiration",1.97192311192442e-06,3.14553644768511e-09
"394","GO:0009062","catabolic process","Up","fatty acid catabolic process",2.87213333195868e-07,NA
"395","GO:0009063","catabolic process","Down","amino acid catabolic process",NA,1.51095532241956e-07
"396","GO:0009100","carbohydrate derivative metabolic process","Down, Up","glycoprotein metabolic process",1.05920095079819e-21,3.70909751722032e-21
"397","GO:0009101","carbohydrate derivative metabolic process","Down, Up","glycoprotein biosynthetic process",4.81214955124869e-16,9.84465389999634e-17
"398","GO:0009116","carbohydrate derivative metabolic process","Up","nucleoside metabolic process",1.08192655769463e-09,NA
"399","GO:0009117","small molecule metabolic process","Down, Up","nucleotide metabolic process",2.8148126444789e-34,5.40070518256832e-49
"400","GO:0009119","carbohydrate derivative metabolic process","Up","ribonucleoside metabolic process",1.02532261905567e-08,NA
"401","GO:0009123","small molecule metabolic process","Down, Up","nucleoside monophosphate metabolic process",1.79819351771733e-16,2.69064970467244e-27
"402","GO:0009124","small molecule metabolic process","Down, Up","nucleoside monophosphate biosynthetic process",1.37973593473031e-06,2.43179297247312e-11
"403","GO:0009126","small molecule metabolic process","Down, Up","purine nucleoside monophosphate metabolic process",1.74067392816117e-14,7.65290380057028e-25
"404","GO:0009127","small molecule metabolic process","Down","purine nucleoside monophosphate biosynthetic process",NA,6.4067648738656e-11
"405","GO:0009132","small molecule metabolic process","Down, Up","nucleoside diphosphate metabolic process",9.14066671578906e-06,3.251298034142e-06
"406","GO:0009141","small molecule metabolic process","Down, Up","nucleoside triphosphate metabolic process",2.66990013983839e-18,5.59735241394624e-28
"407","GO:0009142","small molecule metabolic process","Down, Up","nucleoside triphosphate biosynthetic process",1.29190246779307e-06,4.80293643128145e-10
"408","GO:0009144","small molecule metabolic process","Down, Up","purine nucleoside triphosphate metabolic process",2.79719115924438e-16,1.53738471311141e-25
"409","GO:0009145","small molecule metabolic process","Down","purine nucleoside triphosphate biosynthetic process",NA,1.38728611963824e-08
"410","GO:0009150","carbohydrate derivative metabolic process","Down, Up","purine ribonucleotide metabolic process",1.60486595388839e-24,1.0441892434425e-37
"411","GO:0009152","carbohydrate derivative metabolic process","Down, Up","purine ribonucleotide biosynthetic process",8.22066725833537e-10,1.2325759529975e-14
"412","GO:0009156","small molecule metabolic process","Down, Up","ribonucleoside monophosphate biosynthetic process",2.89193827257713e-06,6.4067648738656e-11
"413","GO:0009161","small molecule metabolic process","Down, Up","ribonucleoside monophosphate metabolic process",3.86405445043763e-15,2.35201815766913e-25
"414","GO:0009165","small molecule metabolic process","Down, Up","nucleotide biosynthetic process",4.81214955124869e-16,3.94675523761831e-19
"415","GO:0009166","organophosphate metabolic process","Down","nucleotide catabolic process",NA,2.72500905598493e-07
"416","GO:0009167","small molecule metabolic process","Down, Up","purine ribonucleoside monophosphate metabolic process",1.74067392816117e-14,7.65290380057028e-25
"417","GO:0009168","small molecule metabolic process","Down","purine ribonucleoside monophosphate biosynthetic process",NA,6.4067648738656e-11
"418","GO:0009199","small molecule metabolic process","Down, Up","ribonucleoside triphosphate metabolic process",2.945439897482e-17,1.75705553527903e-24
"419","GO:0009201","small molecule metabolic process","Down, Up","ribonucleoside triphosphate biosynthetic process",2.70346764171468e-06,4.49536592322705e-08
"420","GO:0009205","small molecule metabolic process","Down, Up","purine ribonucleoside triphosphate metabolic process",2.79719115924438e-16,1.75705553527903e-24
"421","GO:0009206","small molecule metabolic process","Down","purine ribonucleoside triphosphate biosynthetic process",NA,4.49536592322705e-08
"422","GO:0009259","carbohydrate derivative metabolic process","Down, Up","ribonucleotide metabolic process",3.55032368649504e-26,3.08466757109984e-38
"423","GO:0009260","carbohydrate derivative metabolic process","Down, Up","ribonucleotide biosynthetic process",4.13398386140782e-11,1.2325759529975e-14
"424","GO:0009266","response to abiotic stimulus","Down, Up","response to temperature stimulus",2.86837619772199e-27,7.29880132893197e-15
"425","GO:0009267","response to external stimulus","Down, Up","cellular response to starvation",9.02731285166477e-14,3.22457384618094e-14
"426","GO:0009301","biosynthetic process","Down","snRNA transcription",NA,4.88712145739057e-07
"427","GO:0009306","secretion","Down, Up","protein secretion",3.23028873289655e-11,4.92150420131461e-08
"428","GO:0009314","response to abiotic stimulus","Down, Up","response to radiation",8.0287314973245e-43,5.9851512416568e-32
"429","GO:0009408","response to abiotic stimulus","Down, Up","response to heat",1.21909433483531e-20,1.86588326148798e-10
"430","GO:0009410","response to xenobiotic stimulus","Down, Up","response to xenobiotic stimulus",4.12594377170541e-14,1.2024334191507e-16
"431","GO:0009411","response to abiotic stimulus","Down, Up","response to UV",2.08953294563453e-17,3.80886670002765e-10
"432","GO:0009416","response to abiotic stimulus","Down, Up","response to light stimulus",2.13113115904276e-31,1.27093796985158e-23
"433","GO:0009451","macromolecule modification","Down, Up","RNA modification",1.70645227551475e-13,2.70685493121775e-09
"434","GO:0009566","reproduction","Down, Up","fertilization",1.51579503046055e-07,5.93364354739161e-07
"435","GO:0009581","response to stimulus, detection of stimulus","Down, Up","detection of external stimulus",1.69890198764079e-10,3.50740417594343e-08
"436","GO:0009582","response to stimulus, detection of stimulus","Down, Up","detection of abiotic stimulus",1.69890198764079e-10,9.68341575568954e-09
"437","GO:0009583","detection of stimulus","Up","detection of light stimulus",1.27486733029435e-06,NA
"438","GO:0009605","response to external stimulus","Down, Up","response to external stimulus",2.02467938638282e-124,2.84310148917685e-117
"439","GO:0009607","response to biotic stimulus","Down, Up","response to biotic stimulus",2.47406432737774e-47,7.02362843679938e-50
"440","GO:0009611","response to stress, defense response","Down, Up","response to wounding",2.65710160899354e-38,3.53760017367914e-34
"441","GO:0009612","response to abiotic stimulus","Down, Up","response to mechanical stimulus",4.13976455369794e-16,8.31528883759383e-14
"442","GO:0009615","biological process involved in interspecies interaction between organisms, biological process involved in symbiotic interaction","Down, Up","response to virus",3.23541643273323e-09,2.679733117074e-10
"443","GO:0009617","response to biotic stimulus","Down, Up","response to bacterium",1.80765244247159e-30,1.16383120633354e-31
"444","GO:0009620","biological process involved in interspecies interaction between organisms, biological process involved in symbiotic interaction","Down, Up","response to fungus",3.16879001419689e-07,3.59879597848406e-07
"445","GO:0009628","response to abiotic stimulus","Down, Up","response to abiotic stimulus",4.6327834304684e-102,2.0973152735716e-77
"446","GO:0009636","response to chemical","Down, Up","response to toxic substance",2.31895459081275e-40,2.91665168627563e-36
"447","GO:0009653","anatomical structure morphogenesis","Down, Up","anatomical structure morphogenesis",2.30621841439299e-187,1.21334249775624e-188
"448","GO:0009719","response to endogenous stimulus","Down, Up","response to endogenous stimulus",1.0105129413886e-94,3.76047964012323e-79
"449","GO:0009725","response to chemical, response to organic substance","Down, Up","response to hormone",3.85544832396456e-61,3.92996843105971e-55
"450","GO:0009743","response to chemical, response to organic substance","Down, Up","response to carbohydrate",3.89626847748653e-15,2.01271054225028e-11
"451","GO:0009746","response to chemical, response to organic substance","Down, Up","response to hexose",1.51977735574504e-11,1.47011034328002e-08
"452","GO:0009749","response to chemical, response to organic substance","Down, Up","response to glucose",6.76815924881754e-11,1.47011034328002e-08
"453","GO:0009755","response to chemical, response to organic substance","Down, Up","hormone-mediated signaling pathway",2.16520818551878e-08,1.09877332658149e-06
"454","GO:0009790","developmental process, embryo development","Down, Up","embryo development",6.21837027159144e-114,9.17376094609434e-119
"455","GO:0009791","post-embryonic development","Down, Up","post-embryonic development",1.94567230305822e-67,6.18392164230251e-75
"456","GO:0009792","developmental process, embryo development","Down, Up","embryo development ending in birth or egg hatching",4.48339031040083e-73,3.50511413827614e-81
"457","GO:0009798","pattern specification process","Down, Up","axis specification",1.74587795408836e-23,1.4216846416631e-22
"458","GO:0009799","pattern specification process","Down, Up","specification of symmetry",5.62937924694721e-16,3.93977400824333e-12
"459","GO:0009855","pattern specification process","Down, Up","determination of bilateral symmetry",5.62937924694721e-16,3.93977400824333e-12
"460","GO:0009880","pattern specification process","Down, Up","embryonic pattern specification",1.89798370507223e-20,9.40219050558322e-21
"461","GO:0009886","post-embryonic development","Down, Up","post-embryonic animal morphogenesis",1.71943804092291e-36,4.10664209826027e-32
"462","GO:0009887","animal organ development","Down, Up","animal organ morphogenesis",8.06882732137423e-94,1.8342038175518e-86
"463","GO:0009888","tissue development","Down, Up","tissue development",7.74477043763737e-144,5.62519356945835e-134
"464","GO:0009889","regulation of metabolic process","Down, Up","regulation of biosynthetic process",1.48745047435482e-218,6.9430998776274e-202
"465","GO:0009890","negative regulation of biological process","Down, Up","negative regulation of biosynthetic process",1.46974102259707e-101,3.73846120509431e-83
"466","GO:0009891","positive regulation of biological process","Down, Up","positive regulation of biosynthetic process",3.85171367710694e-120,4.47924344626077e-111
"467","GO:0009892","negative regulation of biological process","Down, Up","negative regulation of metabolic process",7.43830550092727e-176,8.10739938002453e-168
"468","GO:0009893","positive regulation of biological process","Down, Up","positive regulation of metabolic process",1.10981447479772e-203,5.75582662081851e-174
"469","GO:0009894","catabolic process","Down, Up","regulation of catabolic process",5.283178014081e-71,5.88056778153535e-61
"470","GO:0009895","catabolic process","Down, Up","negative regulation of catabolic process",2.68128857266457e-20,1.4216846416631e-22
"471","GO:0009896","catabolic process","Down, Up","positive regulation of catabolic process",7.19137150885289e-39,1.61890098144548e-31
"472","GO:0009913","tissue development","Down, Up","epidermal cell differentiation",3.29658728084721e-16,2.34631280471157e-12
"473","GO:0009914","regulation of biological quality","Down","hormone transport",NA,9.841086768293e-06
"474","GO:0009948","pattern specification process","Down, Up","anterior/posterior axis specification",7.89935144493976e-15,2.30719040419807e-12
"475","GO:0009950","pattern specification process","Down, Up","dorsal/ventral axis specification",2.36984899383024e-07,1.18806131470281e-07
"476","GO:0009952","pattern specification process","Down, Up","anterior/posterior pattern specification",1.57939927474073e-24,4.51820920237543e-25
"477","GO:0009953","pattern specification process","Down, Up","dorsal/ventral pattern formation",8.3536404150104e-21,1.00141508329201e-15
"478","GO:0009966","signaling","Down, Up","regulation of signal transduction",9.2000407456414e-182,4.36473936104195e-137
"479","GO:0009967","signaling","Down, Up","positive regulation of signal transduction",1.03631629363736e-91,1.33773753004222e-77
"480","GO:0009968","signaling, regulation of cell communication","Down, Up","negative regulation of signal transduction",2.89288338312107e-87,1.08191373096531e-70
"481","GO:0009987","cellular process","Down, Up","cellular process",0,0
"482","GO:0009991","response to external stimulus","Down, Up","response to extracellular stimulus",6.79380202860178e-44,1.04682791093673e-40
"483","GO:0009994","reproduction","Down, Up","oocyte differentiation",7.83824533805785e-16,1.14996131521383e-18
"484","GO:0010001","system development","Down, Up","glial cell differentiation",8.0280892561007e-14,3.46347071481968e-07
"485","GO:0010033","response to chemical, response to organic substance","Down, Up","response to organic substance",1.27352070984582e-171,5.39624821902634e-156
"486","GO:0010035","response to chemical","Down, Up","response to inorganic substance",3.49956960003089e-33,1.25345867199498e-34
"487","GO:0010038","response to chemical","Down, Up","response to metal ion",8.7939855543747e-23,6.23675959941597e-23
"488","GO:0010171","anatomical structure morphogenesis","Down, Up","body morphogenesis",5.41878141179148e-07,2.36002624198435e-10
"489","GO:0010212","response to abiotic stimulus","Down, Up","response to ionizing radiation",2.09948481625529e-15,2.16741188650487e-12
"490","GO:0010243","response to chemical, response to organic substance","Down, Up","response to organonitrogen compound",2.74943575635883e-66,3.26556195041659e-62
"491","GO:0010256","endomembrane system organization, membrane organization","Down, Up","endomembrane system organization",2.5208382948468e-37,5.58707503467722e-32
"492","GO:0010257","cellular component biogenesis","Down","NADH dehydrogenase complex assembly",NA,1.44359948200073e-07
"493","GO:0010259","aging","Down, Up","multicellular organism aging",3.00145482167485e-24,2.91983670280969e-30
"494","GO:0010324","membrane organization","Up","membrane invagination",5.43821384187115e-09,NA
"495","GO:0010389","cell cycle","Down, Up","regulation of G2/M transition of mitotic cell cycle",1.86240645441824e-13,3.01585455916857e-08
"496","GO:0010453","cell fate commitment","Down, Up","regulation of cell fate commitment",3.30586817426694e-09,1.62689296294283e-07
"497","GO:0010454","cell fate commitment","Up","negative regulation of cell fate commitment",5.40500630558921e-06,NA
"498","GO:0010466","regulation of metabolic process","Up","negative regulation of peptidase activity",1.32778603417093e-06,NA
"499","GO:0010467","metabolic process","Down, Up","gene expression",5.80500779425269e-145,2.07799211447928e-189
"500","GO:0010468","regulation of metabolic process","Down, Up","regulation of gene expression",3.05761797317869e-231,1.93866475060929e-223
"501","GO:0010469","signaling","Down, Up","regulation of signaling receptor activity",1.55720583833988e-09,1.40078179122895e-09
"502","GO:0010470","embryo development","Up","regulation of gastrulation",1.40967989552391e-07,NA
"503","GO:0010498","proteolysis","Down, Up","proteasomal protein catabolic process",1.9124108367316e-23,1.51074633483494e-27
"504","GO:0010506","regulation of autophagy","Down, Up","regulation of autophagy",2.13373694541253e-25,6.16043451482153e-23
"505","GO:0010507","catabolic process","Down, Up","negative regulation of autophagy",2.83275684025498e-06,1.06885774954655e-06
"506","GO:0010508","regulation of autophagy","Down, Up","positive regulation of autophagy",7.34578319475763e-09,2.63831852713309e-09
"507","GO:0010556","regulation of metabolic process","Down, Up","regulation of macromolecule biosynthetic process",7.70638562685945e-205,8.48923781078347e-192
"508","GO:0010557","positive regulation of biological process","Down, Up","positive regulation of macromolecule biosynthetic process",1.2055869122549e-111,5.63557265679928e-105
"509","GO:0010558","negative regulation of biological process","Down, Up","negative regulation of macromolecule biosynthetic process",7.98187883084831e-94,3.30597652317674e-79
"510","GO:0010562","phosphorus metabolic process","Down, Up","positive regulation of phosphorus metabolic process",1.05038809157971e-57,6.19065743641753e-46
"511","GO:0010563","phosphorus metabolic process","Down, Up","negative regulation of phosphorus metabolic process",3.11842923341886e-35,9.39628081346352e-33
"512","GO:0010564","cell cycle","Down, Up","regulation of cell cycle process",4.14818617969505e-61,2.02403913294306e-43
"513","GO:0010565","small molecule metabolic process","Down, Up","regulation of cellular ketone metabolic process",7.47064165341672e-09,7.05869928918279e-06
"514","GO:0010604","positive regulation of biological process","Down, Up","positive regulation of macromolecule metabolic process",2.79262713666777e-192,4.1979647949465e-164
"515","GO:0010605","negative regulation of biological process","Down, Up","negative regulation of macromolecule metabolic process",1.79255584558095e-163,2.38563017553185e-154
"516","GO:0010608","regulation of metabolic process","Down, Up","post-transcriptional regulation of gene expression",1.04094600936118e-40,3.14012875897572e-37
"517","GO:0010623","regulation of cell death","Down","programmed cell death involved in cell development",NA,6.66811300018904e-09
"518","GO:0010628","positive regulation of biological process","Down, Up","positive regulation of gene expression",1.27593215600718e-116,1.00531667736231e-105
"519","GO:0010629","negative regulation of biological process","Down, Up","negative regulation of gene expression",6.81846800815971e-112,8.0449035551901e-116
"520","GO:0010631","tissue migration","Down, Up","epithelial cell migration",1.54308987841591e-20,7.92637614381782e-15
"521","GO:0010632","tissue migration","Down, Up","regulation of epithelial cell migration",7.98124266142241e-17,1.14885154985876e-11
"522","GO:0010634","tissue migration","Down, Up","positive regulation of epithelial cell migration",3.79193362185387e-10,1.72545517338868e-09
"523","GO:0010638","regulation of cellular component organization","Down, Up","positive regulation of organelle organization",5.3352724997705e-50,2.52227924068708e-41
"524","GO:0010639","regulation of cellular component organization","Down, Up","negative regulation of organelle organization",6.0962500751057e-35,2.59086850466088e-20
"525","GO:0010646","regulation of cell communication","Down, Up","regulation of cell communication",1.14476681487093e-199,1.342404215313e-158
"526","GO:0010647","regulation of cell communication","Down, Up","positive regulation of cell communication",1.13470121035807e-99,4.2023026065321e-88
"527","GO:0010648","regulation of cell communication","Down, Up","negative regulation of cell communication",1.69799371454834e-92,2.65698935631857e-74
"528","GO:0010675","carbohydrate metabolic process","Down, Up","regulation of cellular carbohydrate metabolic process",1.06036660927435e-06,1.01195567737955e-09
"529","GO:0010720","regulation of developmental process","Down, Up","positive regulation of cell development",1.26682760770374e-49,9.35932530470447e-32
"530","GO:0010721","regulation of developmental process","Down, Up","negative regulation of cell development",6.04333914805696e-29,2.91481445761595e-23
"531","GO:0010769","regulation of developmental process, anatomical structure morphogenesis","Down, Up","regulation of cell morphogenesis involved in differentiation",1.13240666514117e-28,2.87019298283692e-22
"532","GO:0010770","regulation of developmental process, anatomical structure morphogenesis","Down, Up","positive regulation of cell morphogenesis involved in differentiation",2.0074832822662e-18,6.6588519110712e-09
"533","GO:0010810","regulation of cell adhesion","Down, Up","regulation of cell-substrate adhesion",2.59189962006659e-10,5.32848974415176e-08
"534","GO:0010817","regulation of biological quality","Down, Up","regulation of hormone levels",8.55300351441462e-27,2.8767937952496e-36
"535","GO:0010821","cellular component organization or biogenesis","Down, Up","regulation of mitochondrion organization",1.57841889323146e-07,9.67113778300785e-08
"536","GO:0010822","cellular component organization or biogenesis","Up","positive regulation of mitochondrion organization",6.09748752725675e-06,NA
"537","GO:0010827","regulation of localization","Down, Up","regulation of glucose transmembrane transport",5.71976257534634e-06,4.52959548778117e-06
"538","GO:0010876","macromolecule localization","Down, Up","lipid localization",1.96141470682629e-16,3.59698893535228e-11
"539","GO:0010883","maintenance of location","Down, Up","regulation of lipid storage",1.30592050168707e-07,8.34387066601815e-06
"540","GO:0010906","carbohydrate metabolic process","Down","regulation of glucose metabolic process",NA,3.44182168276115e-07
"541","GO:0010921","organophosphate metabolic process, phosphorus metabolic process","Down, Up","regulation of phosphatase activity",3.37754037815744e-09,6.84775610619506e-09
"542","GO:0010927","anatomical structure morphogenesis","Down, Up","cellular component assembly involved in morphogenesis",2.73986836971897e-14,5.50575932507538e-15
"543","GO:0010941","regulation of cell death","Down, Up","regulation of cell death",4.30151640842039e-111,9.77600407324465e-95
"544","GO:0010942","regulation of cell death","Down, Up","positive regulation of cell death",3.79431282483457e-53,5.75121950902335e-42
"545","GO:0010948","cell cycle","Down, Up","negative regulation of cell cycle process",1.63160769771762e-23,4.59229423037624e-19
"546","GO:0010950","regulation of molecular function, regulation of metabolic process","Down, Up","positive regulation of endopeptidase activity",2.31512889154039e-11,1.75548877024647e-08
"547","GO:0010951","regulation of metabolic process","Up","negative regulation of endopeptidase activity",2.74370447108806e-06,NA
"548","GO:0010952","regulation of molecular function, regulation of metabolic process","Down, Up","positive regulation of peptidase activity",1.14681802701153e-12,5.51953197340497e-09
"549","GO:0010959","regulation of localization","Down, Up","regulation of metal ion transport",1.32067514713847e-15,2.69343972365725e-13
"550","GO:0010965","cell cycle","Up","regulation of mitotic sister chromatid separation",5.25907940971582e-06,NA
"551","GO:0010970","microtubule-based transport","Down, Up","transport along microtubule",5.14120209363454e-15,3.50242332315233e-11
"552","GO:0010975","cell projection organization","Down, Up","regulation of neuron projection development",5.48267452645771e-51,6.43273419626727e-33
"553","GO:0010976","cell projection organization","Down, Up","positive regulation of neuron projection development",6.39567752525752e-34,9.94496906194248e-14
"554","GO:0010977","regulation of cellular component organization","Down, Up","negative regulation of neuron projection development",1.77376111802247e-13,1.60425695444022e-09
"555","GO:0012501","regulation of cell death","Down, Up","programmed cell death",4.2771980162656e-50,4.58045788248377e-47
"556","GO:0014013","system development","Down, Up","regulation of gliogenesis",1.19184101734005e-06,1.67130720234532e-07
"557","GO:0014066","intracellular signal transduction","Up","regulation of phosphatidylinositol 3-kinase signaling",1.29631079637163e-06,NA
"558","GO:0014070","response to chemical, response to organic substance","Down, Up","response to organic cyclic compound",1.38217017335315e-60,1.79720842103114e-57
"559","GO:0014074","response to chemical, response to organic substance","Down, Up","response to purine-containing compound",2.53857480342181e-08,2.11441552409577e-08
"560","GO:0014902","muscle structure development","Down","myotube differentiation",NA,1.4966220666223e-10
"561","GO:0015031","macromolecule localization","Down, Up","protein transport",1.11332490556596e-76,4.60897911449997e-86
"562","GO:0015698","localization","Down, Up","inorganic anion transport",1.34878554745437e-06,1.279910959901e-06
"563","GO:0015711","organic substance transport","Down, Up","organic anion transport",4.45859967428672e-16,1.1448681541311e-14
"564","GO:0015718","organic substance transport","Down, Up","monocarboxylic acid transport",1.21782256116938e-06,1.47707267556992e-06
"565","GO:0015833","nitrogen compound transport","Down, Up","peptide transport",4.54008311105477e-78,5.25609471096558e-87
"566","GO:0015849","organic substance transport","Down, Up","organic acid transport",1.66039587983947e-10,2.61764273399748e-10
"567","GO:0015850","organic substance transport","Up","organic hydroxy compound transport",2.63626676315409e-08,NA
"568","GO:0015931","nitrogen compound transport","Down, Up","nucleobase-containing compound transport",1.94013047654211e-17,9.06186807070382e-16
"569","GO:0015980","generation of precursor metabolites and energy","Down, Up","energy derivation by oxidation of organic compounds",2.81710110997762e-17,8.55923977050414e-25
"570","GO:0016032","viral process","Down, Up","viral process",2.45664361793092e-21,1.4745247941191e-13
"571","GO:0016042","catabolic process, lipid metabolic process","Down, Up","lipid catabolic process",4.07368278119696e-14,3.79223891648286e-12
"572","GO:0016043","cellular component organization or biogenesis","Down, Up","cellular component organization",0,0
"573","GO:0016049","regulation of growth","Down, Up","cell growth",3.10306449522065e-16,8.66937933900408e-17
"574","GO:0016050","endomembrane system organization, vesicle organization","Down, Up","vesicle organization",2.45513705776057e-26,1.963076863833e-21
"575","GO:0016051","carbohydrate metabolic process","Down, Up","carbohydrate biosynthetic process",2.68130416421352e-09,4.6700455464153e-08
"576","GO:0016052","carbohydrate metabolic process","Up","carbohydrate catabolic process",1.12348663770114e-07,NA
"577","GO:0016053","small molecule metabolic process","Down, Up","organic acid biosynthetic process",1.90665489079285e-20,9.9551267359063e-22
"578","GO:0016054","catabolic process","Down, Up","organic acid catabolic process",1.58575319574395e-12,1.50791434203019e-13
"579","GO:0016055","cell-cell signaling, cell communication","Down, Up","Wnt signaling pathway",5.93686855540832e-15,2.60939956969292e-13
"580","GO:0016070","metabolic process","Down, Up","RNA metabolic process",3.57900876227764e-122,5.13823193380375e-156
"581","GO:0016071","RNA processing","Down, Up","mRNA metabolic process",5.35908767791409e-53,1.0516903910049e-69
"582","GO:0016072","RNA processing","Down, Up","rRNA metabolic process",1.00656076097334e-17,1.27139775530378e-27
"583","GO:0016073","RNA processing","Down, Up","snRNA metabolic process",6.3435719206245e-07,3.96947014465208e-09
"584","GO:0016079","secretion","Down, Up","synaptic vesicle exocytosis",2.8874602855829e-07,3.93001125516753e-08
"585","GO:0016125","lipid metabolic process","Down","sterol metabolic process",NA,8.91884330731579e-06
"586","GO:0016192","vesicle-mediated transport","Down, Up","vesicle-mediated transport",2.62748145457406e-119,2.79252242221114e-99
"587","GO:0016197","vesicle-mediated transport, cellular localization","Down, Up","endosomal transport",1.99983890402908e-24,3.95039009014095e-16
"588","GO:0016236","regulation of autophagy","Down, Up","macroautophagy",3.53439008900529e-10,4.05836001953536e-11
"589","GO:0016239","regulation of autophagy","Down","positive regulation of macroautophagy",NA,3.16898256015847e-06
"590","GO:0016241","regulation of autophagy","Down, Up","regulation of macroautophagy",2.09769889159867e-13,1.27361960639838e-13
"591","GO:0016310","phosphorus metabolic process","Down, Up","phosphorylation",6.45899678773909e-76,9.6903243018369e-72
"592","GO:0016311","organophosphate metabolic process, phosphorus metabolic process","Down, Up","dephosphorylation",7.43060327678016e-14,7.93268357041625e-13
"593","GO:0016322","developmental maturation","Up","neuron remodeling",5.41808664135309e-06,NA
"594","GO:0016331","tissue development","Down, Up","morphogenesis of embryonic epithelium",4.13073899493293e-24,4.52002915239925e-27
"595","GO:0016358","cell projection organization","Down, Up","dendrite development",9.99836344355267e-19,1.06421301110978e-16
"596","GO:0016441","regulation of metabolic process","Down, Up","post-transcriptional gene silencing",1.4587796132333e-07,3.66119636265623e-07
"597","GO:0016477","cell motility","Down, Up","cell migration",1.9925994901225e-67,1.20362235854091e-54
"598","GO:0016482","cellular localization","Down, Up","cytosolic transport",2.60106909118545e-17,7.89111626366841e-13
"599","GO:0016485","protein maturation, proteolysis","Down, Up","protein processing",3.54566434760569e-12,3.78037392760086e-11
"600","GO:0016525","system development","Up","negative regulation of angiogenesis",4.41312647994878e-06,NA
"601","GO:0016567","macromolecule modification","Down, Up","protein ubiquitination",1.96604149655711e-29,7.85518440717323e-33
"602","GO:0016570","peptidyl-amino acid modification","Down, Up","histone modification",9.96564214135087e-25,5.99487077963933e-30
"603","GO:0016571","macromolecule modification","Down","histone methylation",NA,9.30679113430642e-07
"604","GO:0016573","peptidyl-amino acid modification","Down, Up","histone acetylation",1.21108064237705e-08,3.27513810202831e-14
